设备型号,安装时间,厂家,损坏时间,设计寿命,损坏时的天气,安装地点,运维班,损坏性质
CPU板件,2015-11-15,南瑞科技,2027-03-12,12,晴,somewhere,维修班4,0
电源DC220,2016-10-10,上海惠安,2023-04-16,7,雷阵雨,somewhere,维修班3,0
CPU板件,2019-10-25,许继电气,2033-08-08,14,阴,somewhere,维修班2,0
电源DC220,2015-02-10,南瑞科技,2022-11-26,8,小雨,somewhere,维修班3,0
显示屏,2019-08-02,南瑞科技,2031-05-17,12,晴,somewhere,维修班3,0
CPU板件,2019-01-25,上海惠安,2021-01-15,3,雷阵雨,somewhere,维修班2,开关设备故障
CPU板件,2020-02-20,国电南自,2027-10-17,8,晴,somewhere,维修班4,0
CPU板件,2012-09-19,国电南自,2021-06-25,9,大雨,somewhere,维修班3,0
显示屏,2020-10-18,南瑞继保,2035-06-16,15,冰雹,somewhere,维修班1,0
显示屏,2018-09-02,上海惠安,2021-07-27,3,雷阵雨,somewhere,维修班1,0
电源DC220,2014-06-30,许继电气,2014-05-12,4,晴,somewhere,维修班1,保护装置故障
CPU板件,2012-09-04,国电南自,2023-06-15,11,小雨,somewhere,维修班1,0
显示屏,2011-10-25,许继电气,2020-07-03,9,小雨,somewhere,维修班3,电流互感器二次回路故障
显示屏,2015-11-20,国电南自,2025-08-03,10,冰雹,somewhere,维修班3,0
显示屏,2013-06-11,深圳南瑞,2018-10-14,6,阴,somewhere,维修班3,电压互感器二次回路故障
电源DC220,2015-08-29,许继电气,2027-04-05,12,雷阵雨,somewhere,维修班1,0
电源DC220,2017-02-27,南瑞科技,2030-12-03,14,晴,somewhere,维修班3,0
电源DC220,2011-04-22,南瑞科技,2018-06-17,8,小雨,somewhere,维修班2,直流接地
CPU板件,2013-09-15,国电南自,2024-06-03,11,大雨,somewhere,维修班3,0
显示屏,2015-12-22,许继电气,2019-09-19,4,阴,somewhere,维修班4,直流接地
显示屏,2017-05-28,南瑞科技,2024-08-07,8,雷阵雨,somewhere,维修班4,0
显示屏,2010-03-20,上海惠安,2012-11-23,3,阴,somewhere,维修班2,直流接地
电源DC220,2011-09-22,南瑞科技,2026-06-01,15,晴,somewhere,维修班2,0
显示屏,2018-04-12,南瑞科技,2025-11-30,8,晴,somewhere,维修班2,0
显示屏,2013-12-06,上海惠安,2019-11-03,6,阴,somewhere,维修班2,保护装置故障
CPU板件,2010-07-15,国电南自,2018-05-19,8,阴,somewhere,维修班2,保护装置故障
电源DC220,2018-09-01,许继电气,2021-05-12,3,雷阵雨,somewhere,维修班3,直流接地
电源DC220,2015-11-07,国电南自,2020-07-10,5,小雨,somewhere,维修班1,继电器触点故障
电源DC220,2010-03-29,深圳南瑞,2016-11-22,7,大雨,somewhere,维修班3,电压互感器二次回路故障
电源DC220,2012-01-25,上海惠安,2022-12-04,11,大雨,somewhere,维修班4,0
CPU板件,2018-03-04,南瑞科技,2030-09-17,13,大雨,somewhere,维修班3,0
CPU板件,2012-01-16,深圳南瑞,2024-10-30,13,雷阵雨,somewhere,维修班2,0
显示屏,2020-03-12,深圳南瑞,2026-01-03,6,晴,somewhere,维修班4,0
电源DC220,2019-06-09,许继电气,2034-02-07,15,大雨,somewhere,维修班4,0
电源DC220,2019-07-24,南瑞科技,2029-05-06,10,阴,somewhere,维修班2,0
显示屏,2018-12-09,上海惠安,2022-09-12,4,小雨,somewhere,维修班1,0
电源DC220,2016-03-27,上海惠安,2023-02-12,7,小雨,somewhere,维修班2,0
CPU板件,2012-08-25,上海惠安,2019-06-15,7,阴,somewhere,维修班3,继电器触点故障
显示屏,2012-03-13,南瑞继保,2026-11-13,15,雷阵雨,somewhere,维修班3,0
电源DC220,2017-11-05,南瑞科技,2032-08-13,15,冰雹,somewhere,维修班1,0
CPU板件,2020-02-29,南瑞科技,2034-11-27,15,大雨,somewhere,维修班2,0
显示屏,2010-07-04,上海惠安,2016-05-03,6,大雨,somewhere,维修班2,开关设备故障
显示屏,2011-08-03,上海惠安,2019-03-03,8,晴,somewhere,维修班1,继电器触点故障
CPU板件,2016-11-25,深圳南瑞,2021-09-29,5,晴,somewhere,维修班1,0
显示屏,2020-05-24,深圳南瑞,2024-02-18,4,晴,somewhere,维修班4,0
CPU板件,2019-05-25,深圳南瑞,2032-03-05,13,小雨,somewhere,维修班2,0
电源DC220,2019-01-17,南瑞继保,2021-10-30,3,阴,somewhere,维修班1,0
显示屏,2020-02-02,深圳南瑞,2033-08-22,14,小雨,somewhere,维修班1,0
CPU板件,2012-09-09,南瑞科技,2022-07-12,10,小雨,somewhere,维修班4,0
电源DC220,2014-03-17,上海惠安,2024-12-30,11,大雨,somewhere,维修班1,0
CPU板件,2012-11-08,南瑞科技,2015-09-13,3,雷阵雨,somewhere,维修班4,电流互感器二次回路故障
电源DC220,2017-07-10,深圳南瑞,2031-02-20,15,冰雹,somewhere,维修班2,0
电源DC220,2018-06-22,许继电气,2033-04-07,15,阴,somewhere,维修班3,0
显示屏,2012-02-18,上海惠安,2017-10-11,6,晴,somewhere,维修班3,直流接地
电源DC220,2010-02-19,南瑞继保,2021-02-23,12,冰雹,somewhere,维修班1,开关设备故障
显示屏,2017-07-20,国电南自,2020-02-02,3,阴,somewhere,维修班2,直流接地
电源DC220,2011-04-09,南瑞继保,2018-12-24,8,小雨,somewhere,维修班4,开关设备故障
显示屏,2014-05-18,许继电气,2022-02-23,8,雷阵雨,somewhere,维修班4,0
显示屏,2015-10-22,南瑞科技,2027-08-07,12,雷阵雨,somewhere,维修班3,0
CPU板件,2016-10-25,上海惠安,2030-07-03,14,冰雹,somewhere,维修班3,0
显示屏,2014-05-06,南瑞科技,2025-01-17,11,大雨,somewhere,维修班2,0
CPU板件,2018-01-03,国电南自,2027-10-18,10,大雨,somewhere,维修班4,0
电源DC220,2017-10-11,南瑞科技,2026-07-27,9,阴,somewhere,维修班3,0
CPU板件,2013-07-25,许继电气,2021-04-19,8,冰雹,somewhere,维修班4,保护装置故障
显示屏,2015-02-26,上海惠安,2017-09-09,3,小雨,somewhere,维修班1,直流接地
电源DC220,2011-05-13,南瑞科技,2018-02-22,7,晴,somewhere,维修班2,直流接地
CPU板件,2018-03-18,南瑞继保,2023-11-25,6,雷阵雨,somewhere,维修班4,0
显示屏,2011-05-24,南瑞继保,2022-01-14,11,阴,somewhere,维修班1,0
CPU板件,2010-04-24,深圳南瑞,2018-02-07,8,阴,somewhere,维修班2,直流接地
电源DC220,2011-08-07,深圳南瑞,2019-11-17,9,大雨,somewhere,维修班2,继电器触点故障
电源DC220,2016-12-13,许继电气,2023-09-22,7,大雨,somewhere,维修班1,0
CPU板件,2020-07-14,许继电气,2024-05-13,4,晴,somewhere,维修班3,0
电源DC220,2011-06-11,深圳南瑞,2023-01-14,12,冰雹,somewhere,维修班4,0
CPU板件,2014-09-10,国电南自,2017-06-14,3,晴,somewhere,维修班1,老化
显示屏,2013-05-12,许继电气,2019-04-06,6,阴,somewhere,维修班1,老化
显示屏,2014-11-13,南瑞继保,2027-08-30,13,小雨,somewhere,维修班4,0
CPU板件,2020-01-08,上海惠安,2028-10-10,9,冰雹,somewhere,维修班2,0
CPU板件,2019-05-08,国电南自,2032-01-20,13,雷阵雨,somewhere,维修班4,0
显示屏,2013-09-24,深圳南瑞,2026-03-20,13,大雨,somewhere,维修班4,0
CPU板件,2011-11-25,南瑞科技,2020-08-08,9,雷阵雨,somewhere,维修班2,保护装置故障
电源DC220,2014-11-18,许继电气,2018-07-10,4,大雨,somewhere,维修班1,电流互感器二次回路故障
CPU板件,2012-03-13,上海惠安,2019-12-24,8,小雨,somewhere,维修班2,保护装置故障
CPU板件,2014-02-23,许继电气,2018-07-28,5,晴,somewhere,维修班3,老化
CPU板件,2013-10-11,南瑞科技,2019-07-11,6,雷阵雨,somewhere,维修班4,保护装置故障
电源DC220,2013-04-11,南瑞继保,2017-11-20,5,阴,somewhere,维修班2,保护装置故障
显示屏,2014-01-14,南瑞继保,2026-10-29,13,雷阵雨,somewhere,维修班2,0
电源DC220,2012-06-29,国电南自,2023-04-28,11,晴,somewhere,维修班4,0
显示屏,2010-12-17,许继电气,2022-10-07,12,冰雹,somewhere,维修班4,0
显示屏,2018-06-10,南瑞科技,2024-03-03,6,小雨,somewhere,维修班2,0
CPU板件,2018-06-06,国电南自,2024-01-25,6,阴,somewhere,维修班4,0
电源DC220,2018-05-05,许继电气,2028-08-26,11,冰雹,somewhere,维修班4,0
CPU板件,2011-01-01,深圳南瑞,2013-08-18,3,阴,somewhere,维修班4,老化
显示屏,2015-12-07,深圳南瑞,2021-10-22,6,阴,somewhere,维修班3,0
显示屏,2020-09-14,许继电气,2029-05-01,9,阴,somewhere,维修班3,0
显示屏,2013-04-25,南瑞继保,2016-12-10,4,晴,somewhere,维修班2,保护装置故障
显示屏,2012-05-10,国电南自,2025-03-01,13,雷阵雨,somewhere,维修班3,0
电源DC220,2012-06-27,国电南自,2016-10-16,5,雷阵雨,somewhere,维修班4,继电器触点故障
CPU板件,2016-07-31,许继电气,2025-04-13,9,冰雹,somewhere,维修班4,0
显示屏,2015-07-07,深圳南瑞,2023-03-21,8,冰雹,somewhere,维修班1,0
电源DC220,2018-04-06,许继电气,2022-12-30,5,晴,somewhere,维修班4,0
CPU板件,2013-11-21,许继电气,2017-08-25,4,阴,somewhere,维修班4,继电器触点故障
CPU板件,2016-01-07,国电南自,2029-11-18,14,冰雹,somewhere,维修班1,0
CPU板件,2014-06-19,南瑞继保,2029-05-19,15,阴,somewhere,维修班3,0
电源DC220,2010-05-28,国电南自,2020-02-13,10,阴,somewhere,维修班4,继电器触点故障
显示屏,2011-02-08,上海惠安,2023-05-23,13,晴,somewhere,维修班3,0
电源DC220,2014-12-22,深圳南瑞,2019-10-03,5,晴,somewhere,维修班3,直流接地
电源DC220,2014-09-09,国电南自,2016-05-03,3,雷阵雨,somewhere,维修班2,保护装置故障
显示屏,2014-12-25,上海惠安,2020-09-09,6,晴,somewhere,维修班4,继电器触点故障
显示屏,2011-09-23,许继电气,2021-06-12,10,阴,somewhere,维修班3,0
显示屏,2010-06-19,上海惠安,2025-04-29,15,小雨,somewhere,维修班4,0
电源DC220,2017-01-12,国电南自,2027-08-30,11,大雨,somewhere,维修班3,0
电源DC220,2014-12-18,南瑞继保,2020-10-11,6,阴,somewhere,维修班3,电流互感器二次回路故障
显示屏,2010-07-08,国电南自,2012-11-22,3,阴,somewhere,维修班2,继电器触点故障
CPU板件,2015-07-23,国电南自,2018-02-18,3,小雨,somewhere,维修班1,开关设备故障
显示屏,2011-12-28,上海惠安,2021-10-12,10,晴,somewhere,维修班4,0
显示屏,2013-08-08,南瑞科技,2022-04-17,9,小雨,somewhere,维修班4,0
CPU板件,2012-04-05,许继电气,2015-02-22,4,阴,somewhere,维修班4,继电器触点故障
CPU板件,2019-08-20,上海惠安,2030-06-11,11,小雨,somewhere,维修班1,0
电源DC220,2010-09-21,国电南自,2020-07-07,10,阴,somewhere,维修班3,保护装置故障
显示屏,2017-12-27,上海惠安,2022-10-19,5,晴,somewhere,维修班1,0
显示屏,2020-08-22,深圳南瑞,2023-07-06,3,小雨,somewhere,维修班2,0
电源DC220,2017-12-31,南瑞继保,2021-07-30,4,小雨,somewhere,维修班4,0
电源DC220,2010-01-06,许继电气,2018-09-30,9,阴,somewhere,维修班4,电压互感器二次回路故障
显示屏,2016-11-24,深圳南瑞,2020-06-04,4,小雨,somewhere,维修班4,老化
显示屏,2020-02-15,南瑞科技,2031-10-12,12,大雨,somewhere,维修班4,0
显示屏,2010-09-14,国电南自,2015-07-15,5,大雨,somewhere,维修班2,保护装置故障
电源DC220,2019-04-15,南瑞继保,2029-07-20,11,冰雹,somewhere,维修班2,0
显示屏,2019-04-27,南瑞科技,2024-12-18,6,小雨,somewhere,维修班1,0
电源DC220,2014-06-18,上海惠安,2018-11-25,5,冰雹,somewhere,维修班1,继电器触点故障
电源DC220,2010-02-28,上海惠安,2021-10-18,12,雷阵雨,somewhere,维修班2,0
电源DC220,2010-10-16,南瑞科技,2020-12-30,11,小雨,somewhere,维修班3,保护装置故障
CPU板件,2017-02-25,许继电气,2021-11-27,5,晴,somewhere,维修班1,0
CPU板件,2012-06-18,南瑞科技,2023-03-12,11,小雨,somewhere,维修班3,0
电源DC220,2015-01-27,国电南自,2017-10-29,3,雷阵雨,somewhere,维修班4,直流接地
电源DC220,2015-08-16,上海惠安,2024-06-06,9,大雨,somewhere,维修班2,0
显示屏,2016-12-20,国电南自,2023-11-05,7,雷阵雨,somewhere,维修班4,0
电源DC220,2013-02-26,上海惠安,2023-08-01,11,阴,somewhere,维修班4,0
电源DC220,2011-05-20,许继电气,2020-12-08,10,雷阵雨,somewhere,维修班3,电流互感器二次回路故障
显示屏,2020-03-20,深圳南瑞,2033-01-15,13,雷阵雨,somewhere,维修班3,0
CPU板件,2020-03-31,南瑞科技,2031-12-09,12,大雨,somewhere,维修班4,0
CPU板件,2013-11-28,国电南自,2025-07-31,12,阴,somewhere,维修班3,0
CPU板件,2016-12-15,上海惠安,2019-08-05,3,雷阵雨,somewhere,维修班3,保护装置故障
显示屏,2014-07-27,南瑞继保,2027-05-19,13,雷阵雨,somewhere,维修班1,0
CPU板件,2012-05-13,南瑞继保,2017-11-25,6,大雨,somewhere,维修班1,继电器触点故障
显示屏,2017-02-27,上海惠安,2020-12-21,4,雷阵雨,somewhere,维修班3,保护装置故障
显示屏,2014-12-26,上海惠安,2017-06-06,3,小雨,somewhere,维修班1,老化
电源DC220,2010-10-05,南瑞科技,2015-03-02,5,小雨,somewhere,维修班2,继电器触点故障
CPU板件,2013-07-18,南瑞科技,2022-05-05,9,大雨,somewhere,维修班4,0
显示屏,2019-10-30,许继电气,2024-05-03,5,小雨,somewhere,维修班4,0
电源DC220,2015-03-12,深圳南瑞,2017-12-21,3,晴,somewhere,维修班3,开关设备故障
电源DC220,2015-06-20,南瑞科技,2030-03-11,15,阴,somewhere,维修班3,0
电源DC220,2017-10-22,国电南自,2020-05-27,3,阴,somewhere,维修班4,保护装置故障
CPU板件,2012-10-12,南瑞继保,2022-05-23,10,大雨,somewhere,维修班2,0
CPU板件,2012-03-18,南瑞科技,2018-12-02,7,冰雹,somewhere,维修班4,电流互感器二次回路故障
电源DC220,2013-11-11,南瑞继保,2026-04-10,13,晴,somewhere,维修班3,0
CPU板件,2016-11-22,深圳南瑞,2028-09-22,12,冰雹,somewhere,维修班4,0
显示屏,2013-07-19,上海惠安,2024-04-25,11,雷阵雨,somewhere,维修班4,0
电源DC220,2012-07-25,国电南自,2024-06-01,12,大雨,somewhere,维修班2,0
CPU板件,2016-03-30,上海惠安,2027-12-21,12,小雨,somewhere,维修班3,0
CPU板件,2016-07-27,南瑞继保,2025-06-13,9,雷阵雨,somewhere,维修班4,0
显示屏,2010-09-21,南瑞继保,2019-08-11,9,晴,somewhere,维修班1,老化
电源DC220,2013-08-01,深圳南瑞,2025-02-10,12,冰雹,somewhere,维修班2,0
电源DC220,2017-12-04,深圳南瑞,2027-08-17,10,小雨,somewhere,维修班4,0
显示屏,2014-12-28,南瑞继保,2023-09-23,9,小雨,somewhere,维修班1,0
电源DC220,2018-03-21,南瑞继保,2022-08-14,5,阴,somewhere,维修班2,0
CPU板件,2018-08-13,上海惠安,2030-04-12,12,小雨,somewhere,维修班2,0
显示屏,2012-07-30,上海惠安,2024-04-05,12,雷阵雨,somewhere,维修班2,0
电源DC220,2015-05-24,国电南自,2028-02-25,13,雷阵雨,somewhere,维修班3,0
CPU板件,2018-10-17,上海惠安,2029-11-27,12,冰雹,somewhere,维修班2,0
CPU板件,2012-08-21,南瑞科技,2018-03-17,6,晴,somewhere,维修班4,直流接地
显示屏,2020-07-08,许继电气,2025-03-31,5,雷阵雨,somewhere,维修班4,0
显示屏,2017-03-21,上海惠安,2031-11-24,15,冰雹,somewhere,维修班1,0
电源DC220,2010-03-19,许继电气,2017-01-07,7,小雨,somewhere,维修班3,开关设备故障
CPU板件,2011-07-04,上海惠安,2025-03-15,14,雷阵雨,somewhere,维修班4,0
电源DC220,2016-02-11,南瑞科技,2030-12-04,15,晴,somewhere,维修班4,0
电源DC220,2013-01-07,南瑞科技,2017-08-09,5,冰雹,somewhere,维修班2,电流互感器二次回路故障
电源DC220,2011-06-16,上海惠安,2021-04-19,10,晴,somewhere,维修班1,开关设备故障
CPU板件,2014-09-19,南瑞继保,2029-05-26,15,阴,somewhere,维修班3,0
显示屏,2019-08-12,国电南自,2028-05-04,9,晴,somewhere,维修班4,0
CPU板件,2012-07-22,深圳南瑞,2025-05-16,13,雷阵雨,somewhere,维修班2,0
电源DC220,2020-04-23,深圳南瑞,2024-11-16,5,大雨,somewhere,维修班1,0
电源DC220,2011-03-08,深圳南瑞,2022-09-18,12,小雨,somewhere,维修班3,0
电源DC220,2018-10-08,深圳南瑞,2031-08-24,13,雷阵雨,somewhere,维修班3,0
显示屏,2019-04-14,国电南自,2030-01-31,11,大雨,somewhere,维修班1,0
电源DC220,2019-01-01,许继电气,2024-08-12,6,冰雹,somewhere,维修班3,0
显示屏,2014-06-11,上海惠安,2020-03-05,6,晴,somewhere,维修班3,直流接地
显示屏,2014-03-05,深圳南瑞,2023-01-03,9,雷阵雨,somewhere,维修班1,0
显示屏,2015-10-24,许继电气,2020-08-12,5,冰雹,somewhere,维修班3,保护装置故障
CPU板件,2016-12-02,上海惠安,2026-09-08,10,雷阵雨,somewhere,维修班4,0
显示屏,2020-04-03,南瑞继保,2027-01-03,7,小雨,somewhere,维修班4,0
CPU板件,2012-10-09,南瑞继保,2019-07-10,7,冰雹,somewhere,维修班1,保护装置故障
电源DC220,2017-09-16,国电南自,2027-01-20,10,晴,somewhere,维修班4,0
显示屏,2012-01-03,深圳南瑞,2021-03-31,10,雷阵雨,somewhere,维修班1,电流互感器二次回路故障
CPU板件,2014-12-17,国电南自,2017-09-15,3,晴,somewhere,维修班1,保护装置故障
显示屏,2019-07-09,许继电气,2032-02-28,13,晴,somewhere,维修班1,0
电源DC220,2017-12-07,深圳南瑞,2028-10-11,11,大雨,somewhere,维修班3,0
电源DC220,2012-04-27,国电南自,2017-07-21,6,大雨,somewhere,维修班1,直流接地
显示屏,2015-06-05,国电南自,2026-02-16,11,晴,somewhere,维修班2,0
显示屏,2018-04-11,深圳南瑞,2026-03-05,8,冰雹,somewhere,维修班3,0
CPU板件,2015-11-13,深圳南瑞,2021-08-18,6,小雨,somewhere,维修班1,0
CPU板件,2018-03-19,南瑞继保,2023-12-18,6,小雨,somewhere,维修班2,0
CPU板件,2020-01-31,国电南自,2032-10-16,13,晴,somewhere,维修班1,0
电源DC220,2015-03-16,南瑞科技,2029-02-02,14,小雨,somewhere,维修班3,0
显示屏,2019-06-08,南瑞科技,2027-03-14,8,阴,somewhere,维修班1,0
显示屏,2020-02-29,南瑞科技,2029-12-16,10,雷阵雨,somewhere,维修班1,0
电源DC220,2014-10-05,深圳南瑞,2019-04-20,5,大雨,somewhere,维修班3,电压互感器二次回路故障
显示屏,2020-06-16,上海惠安,2031-12-28,12,冰雹,somewhere,维修班3,0
电源DC220,2012-01-03,南瑞科技,2015-10-15,4,冰雹,somewhere,维修班1,电流互感器二次回路故障
电源DC220,2018-12-26,深圳南瑞,2026-11-08,8,阴,somewhere,维修班1,0
显示屏,2017-08-12,深圳南瑞,2026-04-03,9,小雨,somewhere,维修班2,0
显示屏,2019-07-06,深圳南瑞,2028-05-19,9,雷阵雨,somewhere,维修班3,0
显示屏,2014-01-17,深圳南瑞,2027-10-21,14,大雨,somewhere,维修班3,0
电源DC220,2013-09-01,深圳南瑞,2016-02-17,3,大雨,somewhere,维修班4,开关设备故障
显示屏,2017-01-22,南瑞科技,2020-11-06,4,雷阵雨,somewhere,维修班2,继电器触点故障
显示屏,2016-07-25,上海惠安,2024-05-27,8,大雨,somewhere,维修班1,0
CPU板件,2014-06-17,许继电气,2024-12-17,11,大雨,somewhere,维修班4,0
显示屏,2014-03-18,国电南自,2025-08-19,12,冰雹,somewhere,维修班4,0
显示屏,2015-11-28,南瑞继保,2021-09-05,6,晴,somewhere,维修班4,0
显示屏,2010-05-04,上海惠安,2014-02-15,4,冰雹,somewhere,维修班4,继电器触点故障
显示屏,2015-03-23,上海惠安,2026-11-25,12,雷阵雨,somewhere,维修班1,0
CPU板件,2019-01-03,南瑞继保,2024-08-26,6,阴,somewhere,维修班4,0
显示屏,2015-05-14,国电南自,2023-01-20,8,晴,somewhere,维修班3,0
CPU板件,2012-04-05,深圳南瑞,2025-02-09,13,雷阵雨,somewhere,维修班3,0
显示屏,2012-10-06,南瑞科技,2024-05-02,12,雷阵雨,somewhere,维修班2,0
CPU板件,2016-10-20,国电南自,2021-08-08,5,大雨,somewhere,维修班3,0
电源DC220,2018-08-24,南瑞继保,2032-05-31,14,阴,somewhere,维修班1,0
CPU板件,2017-11-16,南瑞科技,2025-09-18,8,大雨,somewhere,维修班2,0
显示屏,2014-10-29,深圳南瑞,2022-02-04,8,阴,somewhere,维修班3,0
电源DC220,2012-08-09,南瑞科技,2022-01-11,10,大雨,somewhere,维修班2,0
CPU板件,2018-02-07,上海惠安,2026-11-26,9,小雨,somewhere,维修班3,0
CPU板件,2017-11-17,深圳南瑞,2023-08-07,6,小雨,somewhere,维修班2,0
CPU板件,2020-03-11,深圳南瑞,2029-10-15,10,阴,somewhere,维修班3,0
显示屏,2010-12-09,南瑞继保,2023-08-05,13,阴,somewhere,维修班2,0
电源DC220,2015-09-15,深圳南瑞,2025-06-26,10,大雨,somewhere,维修班4,0
显示屏,2012-10-29,许继电气,2026-07-19,14,晴,somewhere,维修班4,0
CPU板件,2010-08-28,深圳南瑞,2016-06-08,6,阴,somewhere,维修班4,直流接地
显示屏,2018-05-20,深圳南瑞,2021-02-26,3,大雨,somewhere,维修班2,电流互感器二次回路故障
CPU板件,2017-06-22,国电南自,2029-03-30,12,冰雹,somewhere,维修班1,0
电源DC220,2016-09-12,南瑞继保,2020-06-12,4,冰雹,somewhere,维修班2,直流接地
显示屏,2014-02-26,上海惠安,2024-09-13,11,大雨,somewhere,维修班4,0
CPU板件,2019-01-01,南瑞继保,2029-07-03,11,雷阵雨,somewhere,维修班2,0
CPU板件,2018-10-29,许继电气,2021-05-17,3,阴,somewhere,维修班2,老化
电源DC220,2017-06-06,许继电气,2028-12-09,12,大雨,somewhere,维修班3,0
电源DC220,2018-12-14,南瑞科技,2030-09-14,12,雷阵雨,somewhere,维修班4,0
显示屏,2020-11-29,国电南自,2028-09-30,8,雷阵雨,somewhere,维修班1,0
CPU板件,2012-08-03,南瑞继保,2017-05-30,5,冰雹,somewhere,维修班2,电流互感器二次回路故障
电源DC220,2016-08-03,国电南自,2020-06-10,4,大雨,somewhere,维修班1,保护装置故障
显示屏,2014-10-07,许继电气,2026-06-13,12,阴,somewhere,维修班2,0
CPU板件,2013-07-22,深圳南瑞,2023-12-31,11,阴,somewhere,维修班1,0
显示屏,2013-04-16,国电南自,2016-11-05,4,晴,somewhere,维修班1,继电器触点故障
CPU板件,2015-05-14,南瑞继保,2026-03-03,11,大雨,somewhere,维修班1,0
显示屏,2017-01-04,南瑞继保,2019-10-21,3,大雨,somewhere,维修班4,继电器触点故障
CPU板件,2010-10-30,南瑞继保,2018-03-05,8,冰雹,somewhere,维修班2,电流互感器二次回路故障
电源DC220,2020-01-14,许继电气,2031-09-19,12,晴,somewhere,维修班4,0
显示屏,2017-12-29,南瑞继保,2031-09-16,14,冰雹,somewhere,维修班1,0
CPU板件,2018-10-05,许继电气,2032-08-02,14,阴,somewhere,维修班3,0
电源DC220,2017-02-22,南瑞科技,2028-11-21,12,阴,somewhere,维修班3,0
CPU板件,2014-02-13,上海惠安,2016-10-27,3,冰雹,somewhere,维修班2,保护装置故障
CPU板件,2015-11-23,国电南自,2025-09-14,10,晴,somewhere,维修班3,0
电源DC220,2010-07-25,上海惠安,2015-03-08,5,冰雹,somewhere,维修班3,电压互感器二次回路故障
电源DC220,2019-07-21,南瑞继保,2025-06-05,6,雷阵雨,somewhere,维修班3,0
显示屏,2013-02-25,许继电气,2022-07-25,10,阴,somewhere,维修班2,0
显示屏,2019-05-21,国电南自,2023-02-17,4,晴,somewhere,维修班1,0
CPU板件,2014-10-19,南瑞科技,2027-07-26,13,大雨,somewhere,维修班3,0
显示屏,2016-12-21,许继电气,2027-04-10,11,大雨,somewhere,维修班4,0
电源DC220,2013-10-07,国电南自,2025-08-30,13,阴,somewhere,维修班2,0
CPU板件,2017-12-21,深圳南瑞,2021-09-19,4,阴,somewhere,维修班3,0
电源DC220,2019-09-19,南瑞科技,2029-07-10,10,阴,somewhere,维修班3,0
电源DC220,2017-11-16,上海惠安,2024-08-17,7,晴,somewhere,维修班3,0
电源DC220,2015-06-03,许继电气,2030-02-07,15,阴,somewhere,维修班1,0
CPU板件,2015-02-22,南瑞科技,2017-12-27,3,晴,somewhere,维修班4,电流互感器二次回路故障
显示屏,2014-07-14,南瑞继保,2028-04-21,14,冰雹,somewhere,维修班4,0
电源DC220,2019-02-15,上海惠安,2025-09-23,7,冰雹,somewhere,维修班4,0
显示屏,2016-07-11,南瑞科技,2021-03-31,5,阴,somewhere,维修班2,电压互感器二次回路故障
电源DC220,2017-10-03,南瑞科技,2022-01-15,5,雷阵雨,somewhere,维修班2,0
显示屏,2015-07-26,国电南自,2019-05-22,4,冰雹,somewhere,维修班1,电压互感器二次回路故障
电源DC220,2020-09-09,上海惠安,2031-06-11,11,雷阵雨,somewhere,维修班2,0
显示屏,2018-09-20,国电南自,2021-02-25,3,晴,somewhere,维修班1,继电器触点故障
电源DC220,2013-04-14,南瑞继保,2020-01-21,7,小雨,somewhere,维修班2,电压互感器二次回路故障
CPU板件,2016-09-08,南瑞继保,2028-07-17,12,小雨,somewhere,维修班4,0
显示屏,2012-11-24,南瑞科技,2020-08-13,8,阴,somewhere,维修班1,继电器触点故障
电源DC220,2012-12-03,南瑞继保,2025-07-26,13,晴,somewhere,维修班4,0
显示屏,2011-04-30,南瑞继保,2017-02-08,6,小雨,somewhere,维修班4,直流接地
显示屏,2014-11-19,南瑞科技,2028-08-03,14,雷阵雨,somewhere,维修班3,0
显示屏,2012-12-14,许继电气,2023-10-27,11,雷阵雨,somewhere,维修班4,0
电源DC220,2015-06-17,国电南自,2028-11-24,14,大雨,somewhere,维修班2,0
CPU板件,2017-08-29,许继电气,2025-03-26,8,小雨,somewhere,维修班4,0
显示屏,2018-10-25,许继电气,2024-07-09,6,冰雹,somewhere,维修班2,0
显示屏,2018-03-07,国电南自,2022-12-29,5,大雨,somewhere,维修班4,0
电源DC220,2020-03-28,许继电气,2026-11-29,7,冰雹,somewhere,维修班3,0
电源DC220,2020-06-15,南瑞继保,2025-04-22,5,小雨,somewhere,维修班4,0
电源DC220,2017-10-15,南瑞继保,2029-07-14,12,大雨,somewhere,维修班3,0
电源DC220,2016-10-12,国电南自,2025-08-17,9,雷阵雨,somewhere,维修班2,0
CPU板件,2013-01-25,南瑞科技,2026-03-31,14,晴,somewhere,维修班1,0
CPU板件,2014-11-25,许继电气,2020-04-09,6,小雨,somewhere,维修班1,电压互感器二次回路故障
显示屏,2017-12-03,许继电气,2031-08-16,14,阴,somewhere,维修班4,0
显示屏,2011-03-30,许继电气,2024-12-02,14,阴,somewhere,维修班4,0
电源DC220,2018-04-04,深圳南瑞,2024-01-30,6,雷阵雨,somewhere,维修班1,0
电源DC220,2010-06-06,南瑞科技,2021-12-10,12,晴,somewhere,维修班2,0
CPU板件,2019-02-09,深圳南瑞,2023-11-06,5,大雨,somewhere,维修班4,0
CPU板件,2012-07-15,深圳南瑞,2018-01-22,6,晴,somewhere,维修班4,开关设备故障
电源DC220,2018-04-18,许继电气,2032-01-19,14,小雨,somewhere,维修班2,0
